"created_at","updated_at","booking_id","customer_id","category_id","artisan_id","start_time","end_time","location","payment_id","artisan_rating","customer_rating","contract_type","settlement_type","status","details_confirmed","payment_method","description","clock_in_flag","current_work_session_id"
2025-07-09 22:13:54.655,,"0017c1ebe5b34cc0ac05142dcc19bffe",gXPxdHYCcHbcl7MdsIoFK29AIEf2,1065941583869181953,f5e29d05737548b6b739618cb3c4d37f,2025-07-09,2025-07-09,POINT (51.51942570146671 0.1092426521638781),,4,,false,,,false,CARD,,false,
2026-01-02 11:38:20.485,,"005332c6ec054158a8d4c6b2de3a34be",gXPxdHYCcHbcl7MdsIoFK29AIEf2,1065941583869181953,,,,POINT (51.51942 0.11547),,,,false,,PENDING,false,CARD,"Fix broken dinning chair and table, also broken door hinge. I have tools like hammer and nail you can make use of",false,
2025-09-09 18:06:12.710,,"005cdfa269f04fe49a48c2e3fcd135bd",gXPxdHYCcHbcl7MdsIoFK29AIEf2,1065941582961278977,,,,POINT (51.51942 0.11547),,,3,false,,,false,CARD,,false,
2025-08-20 10:46:59.719,2025-08-20 10:47:32.005,"0064d585d923409ead9de73e756e2bc9",gXPxdHYCcHbcl7MdsIoFK29AIEf2,1065941583869181953,f5e29d05737548b6b739618cb3c4d37f,,,POINT (51.519417588643904 0.1092498316127541),,,,false,,,false,CARD,,false,
2025-08-20 10:50:30.286,2025-08-20 10:50:43.765,"0076f5f54bef4548853d8eaf4b5fd6eb",gXPxdHYCcHbcl7MdsIoFK29AIEf2,1065941583869181953,f5e29d05737548b6b739618cb3c4d37f,,,POINT (51.519417588643904 0.1092498316127541),,,,false,,,false,CARD,,false,
2025-07-09 22:12:24.541,,"012b5e3f94984c2f844c768fd9cc4c9f",gXPxdHYCcHbcl7MdsIoFK29AIEf2,1065941583869181953,,,,POINT (51.51942570146671 0.1092426521638781),,,,false,,,false,CARD,,false,
2026-01-08 22:21:17.886,2026-01-08 22:21:35.154,"013852cb3f344d95ada648a9980b1c79",gXPxdHYCcHbcl7MdsIoFK29AIEf2,1065941583869181953,f5e29d05737548b6b739618cb3c4d37f,,,POINT (51.51942 0.11547),,,,false,,ARTISAN_MATCHED,false,CARD,,false,
2025-07-25 01:12:46.230,,"014733a72aee48edbe01c3cb5703e7de",gXPxdHYCcHbcl7MdsIoFK29AIEf2,1065941582961278977,f5e29d05737548b6b739618cb3c4d37f,2025-07-09,2025-07-09,POINT (51.519423097463545 0.1092428720876799),,4,3,true,NEGOTIATION,COMPLETED,true,CARD,,false,
2026-02-03 22:04:26.264,,"017a7ecc935543e1a141a304bd3e4523",gXPxdHYCcHbcl7MdsIoFK29AIEf2,1065941583869181953,,,,POINT (37.421998333333335 -122.084),,,,false,,PENDING,false,CARD,,false,
2025-08-18 15:10:07.455,,"0211105c3ff44b719da33b1be202ad11",gXPxdHYCcHbcl7MdsIoFK29AIEf2,1065941583869181953,f5e29d05737548b6b739618cb3c4d37f,,,POINT (51.51942 0.11547),,,,true,NEGOTIATION,COMPLETED,true,CARD,,false,
